Universidad,Pueblo,Población,Tasa de Graduación,PrivPub
American University,Manatí,1229,13,privada
American University,Bayamón,1453,24,privada
Atenas College,Manatí,1395,70,privada
Atlantic University College,Guaynabo,1318,42,privada
Bayamon Central University,Bayamón,2479,30,privada
Caribbean University,Bayamón,2310,3,privada
Caribbean University,Carolina,873,13,privada
Caribbean University,Ponce,1678,14,privada
Caribbean University,Vega Baja,750,3,privada
Colegio Universitario de San Juan,San Juan,1720,26,pública
Columbia Centro Universitario,Caguas,1551,23,privada
Columbia Centro Universitario,Yauco,566,28,privada
EDP College,San Juan,1225,21,privada
EDP College,San Sebastián,1012,13,privada
Escuela de Artes Plasticas de Puerto Rico,San Juan,522,51,pública
Universidad Interamericana,Aguadilla,4722,23,privada
Universidad Interamericana,Arecibo,5340,25,privada
Universidad Interamericana,Barranquitas,2422,34,privada
Universidad Interamericana,Bayamón,5148,22,privada
Universidad Interamericana,Fajardo,2357,20,privada
Universidad Interamericana,Guayama,2393,28,privada
Universidad Interamericana,San Juan,10681,23,privada
Universidad Interamericana,Ponce,6460,23,privada
Universidad Interamericana,San Germán,5408,31,privada
John Dewey College,San Juan,1443,83,privada
National University College,Arecibo,1787,19,privada
National University College,Bayamón,3000,21,privada
National University College,Rio Grande,1552,24,privada
Pontificia Universidad Católica,Ponce,8203,36,privada
Pontificia Universidad Católica,Arecibo,698,26,privada
Pontificia Universidad Católica,Mayagüez,1507,18,privada
Conservatorio de Música,San Juan,441,43,pública
Universidad Adventista de las Antillas,Mayagüez,1174,33,privada
Universidad Central Del Caribe,Bayamón,485,44,privada
Universidad Del Este,Carolina,13783,17,privada
Universidad Del Turabo,Gurabo,16036,14,privada
Universidad Metropolitana,San Juan,12693,17,privada
Universidad Pentecostal Mizpa,San Juan,299,27,privada
Universidad Politecnica,San Juan,5167,18,privada
Universidad Teologica del Caribe,Trujillo Alto,261,100,privada
University of Phoenix,Guaynabo,2381,15,privada
Universidad de Puerto Rico,Aguadilla,2932,33,pública
Universidad de Puerto Rico,Arecibo,3957,26,pública
Universidad de Puerto Rico,Bayamon,4992,35,pública
Universidad de Puerto Rico,Carolina,4004,41,pública
Universidad de Puerto Rico,Cayey,3631,43,pública
Universidad de Puerto Rico,Humacao,4314,46,pública
Universidad de Puerto Rico,Mayagüez,13221,42,pública
Universidad de Puerto Rico,Ponce,3233,45,pública
Universidad de Puerto Rico,Río Piedras,17539,49,pública
Universidad de Puerto Rico,Utuado,1528,25,pública
Universidad del Sagrado Corazón,San Juan,6095,40,privada